scientific_name,park_name,observations,category,common_names,conservation_status
eriogonum umbellatum var. nevadense,great smoky mountains national park,63,vascular plant,"nevada buckwheat, sulphur-flower buckwheat",
mimulus viscidus,yosemite national park,192,vascular plant,sticky monkeyflower,
juncus orthophyllus,great smoky mountains national park,77,vascular plant,straightleaf rush,
limosa fedoa,yellowstone national park,266,bird,marbled godwit,species of concern
juncus uncialis,great smoky mountains national park,97,vascular plant,twelfth rush,
fabronia ciliaris,bryce national park,111,nonvascular plant,fabronia moss,
thaspium barbinode,great smoky mountains national park,95,vascular plant,"hairy-jointed meadow-parsnip, meadow-parsnip",
polystichum scopulinum,great smoky mountains national park,54,vascular plant,"eaton's hollyfern, mountain hollyfern",
oxalis violacea,yosemite national park,159,vascular plant,violet wood-sorrel,
oxalis violacea,yosemite national park,159,vascular plant,"purple woodsorrel, violet woodsorrel, violet wood-sorrel",
comandra umbellata,yosemite national park,145,vascular plant,bastard toadflax,
carex stipata,bryce national park,101,vascular plant,"stalk-grain sedge, stipate sedge",
ribes aureum var. aureum,yosemite national park,139,vascular plant,golden currant,
allophyllum gilioides ssp. gilioides,great smoky mountains national park,54,vascular plant,"dense false gilia, dense false gilyflower",
ulmus alata,yosemite national park,144,vascular plant,winged elm,
mephitis mephitis,yellowstone national park,257,mammal,striped skunk,
rudbeckia fulgida var. fulgida,yosemite national park,151,vascular plant,orange coneflower,
arnica discoidea,yosemite national park,153,vascular plant,rayless arnica,
geum triflorum,yellowstone national park,234,vascular plant,"old man's whiskers, prairie smoke, prairiesmoke",
draba oligosperma,great smoky mountains national park,34,vascular plant,"fewseed draba, glacier draba",
cleistes divaricata,yellowstone national park,236,vascular plant,spreading pogonia,
tamias quadrimaculatus,yellowstone national park,261,mammal,long-eared chipmunk,
hedysarum sulphurescens,yosemite national park,143,vascular plant,white sweetvetch,
polypodium hesperium,great smoky mountains national park,68,vascular plant,western polypody,
galium boreale,yellowstone national park,252,vascular plant,northern bedstraw,
hosta lancifolia,bryce national park,125,vascular plant,hosta,
trillium catesbaei,bryce national park,94,vascular plant,catesby's trillium,
larus californicus,yosemite national park,136,bird,california gull,
rana draytonii,great smoky mountains national park,43,amphibian,california red-legged frog,threatened
fontinalis sullivantii,bryce national park,97,nonvascular plant,sullivant's fontinalis moss,
clematis occidentalis var. grosseserrata,yellowstone national park,247,vascular plant,western blue virginsbower,
anemone occidentalis,great smoky mountains national park,82,vascular plant,white pasqueflower,
anemone patens var. multifida,great smoky mountains national park,94,vascular plant,cutleaf anemone,
diervilla sessilifolia,great smoky mountains national park,81,vascular plant,"sessile-leaved bush-honey-suckle, southern bush-honeysuckle",
pohlia annotina,great smoky mountains national park,84,nonvascular plant,pohlia moss,
astomum muehlenbergianum,great smoky mountains national park,115,nonvascular plant,muehlenberg's astomum moss,
aster patens var. patens,yosemite national park,132,vascular plant,late purple aster,
limnothlypis swainsonii,great smoky mountains national park,56,bird,swainson's warbler,
arabis repanda var. greenei,great smoky mountains national park,78,vascular plant,greene's rockcress,
brachyelytrum septentrionale,yellowstone national park,247,vascular plant,northern shorthusk,
secale cereale,bryce national park,134,vascular plant,"cultivated rye, rye",
secale cereale,bryce national park,134,vascular plant,"cereal rye, common rye, cultivated annual rye, cultivated rye, rye",
packera aurea,great smoky mountains national park,71,vascular plant,golden ragwort,
delphinium gracilentum,great smoky mountains national park,75,vascular plant,pine forest larkspur,
carex debilis var. interjecta,yellowstone national park,239,vascular plant,necklace sedge,
myriophyllum sibiricum,yosemite national park,176,vascular plant,"american watermilfoil, shortspike watermilfoil, siberian water-milfoil",
eriophyllum nubigenum,yosemite national park,118,vascular plant,yosemite woolly sunflower,species of concern
cryptantha ambigua,yosemite national park,159,vascular plant,"basin cryptantha, wickes cryptantha, wilkes cryptantha",
epilobium glaberrimum ssp. glaberrimum,great smoky mountains national park,72,vascular plant,"glaucus willowherb, smooth willowweed",
sorbus sitchensis var. grayi,yosemite national park,153,vascular plant,western mountain-ash,
plantago major,great smoky mountains national park,90,vascular plant,"nipple-seed plantain, plantain",
plantago major,great smoky mountains national park,90,vascular plant,"broadleaf plantain, buckhorn plantain, common plantain, great plantain, rippleseed plantain",
valeriana occidentalis,yosemite national park,154,vascular plant,"small-flower valerian, western valerian, western valeriana",
mimulus moschatus,yosemite national park,139,vascular plant,"musk monkeyflower, muskflower",
orthocarpus luteus,bryce national park,78,vascular plant,"golden-tongue owl-clover, yellow owlclover, yellow owl's-clover",
hoita macrostachya,yellowstone national park,263,vascular plant,large leather-root,
polytrichum piliferum,bryce national park,110,nonvascular plant,polytrichum moss,
notropis volucellus,bryce national park,69,fish,mimic shiner,
poa sylvestris,yosemite national park,115,vascular plant,woodland bluegrass,
artemisia vulgaris,great smoky mountains national park,86,vascular plant,"common mugwort, common wormwood",
smilax tamnoides,yosemite national park,132,vascular plant,"bristly greenbrier, hispid greenbrier",
erigeron compactus,yosemite national park,148,vascular plant,"cushion daisy, fernleaf fleabane, fern-leaf fleabane",
clarkia purpurea ssp. viminea,yosemite national park,157,vascular plant,winecup clarkia,
carex stipata var. stipata,yosemite national park,174,vascular plant,owlfruit sedge,
tortella humilis,bryce national park,54,nonvascular plant,tortella moss,
elodea nuttallii,bryce national park,120,vascular plant,western waterweed,
elodea nuttallii,bryce national park,120,vascular plant,waterweed,
liriodendron tulipifera,yosemite national park,148,vascular plant,"tulip tree, tuliptree, yellow poplar",
sanicula bipinnatifida,bryce national park,105,vascular plant,purple sanicle,
silene antirrhina,yosemite national park,163,vascular plant,sleepy catchfly,
silene antirrhina,yosemite national park,163,vascular plant,"catchfly, sleepy campion, sleepy catchfly, sleepy silene",
packera werneriifolia,great smoky mountains national park,45,vascular plant,hoary groundsel,
pinicola enucleator,yosemite national park,149,bird,pine grosbeak,
potamogeton strictifolius,great smoky mountains national park,58,vascular plant,"narrowleaf pondweed, straight-leaf pondweed",
desmognathus wrighti,yellowstone national park,201,amphibian,pigmy salamander,species of concern
bryum lisae,bryce national park,155,nonvascular plant,bryum moss,
holosteum umbellatum,yosemite national park,142,vascular plant,jagged chickweed,
lolium arundinaceum,yellowstone national park,247,vascular plant,tall fescue,
carex aggregata,yellowstone national park,279,vascular plant,glomerate sedge,
anthus rubescens,yosemite national park,177,bird,water pipit,
anthus rubescens,yosemite national park,177,bird,american pipit,
cirsium undulatum,great smoky mountains national park,84,vascular plant,"gray thistle, wavyleaf thistle, wavy-leaf thistle",
helenium flexuosum,yosemite national park,133,vascular plant,"dark-eyed sneezeweed, purple-head sneezeweed",
aythya affinis,great smoky mountains national park,115,bird,lesser scaup,species of concern
limosa fedoa,yosemite national park,131,bird,marbled godwit,species of concern
tipularia discolor,bryce national park,57,vascular plant,"cranefly orchid, crippled cranefly",
arenaria aculeata,great smoky mountains national park,68,vascular plant,"prickly sandwort, spiny sandwort",
juncus diffusissimus,yellowstone national park,245,vascular plant,"diffuse rush, slimpod rush",
lutra canadensis,bryce national park,127,mammal,northern river otter,
lutra canadensis,bryce national park,127,mammal,river otter,
phalaris arundinacea,yellowstone national park,201,vascular plant,reed canary grass,
phalaris arundinacea,yellowstone national park,201,vascular plant,"reed canary grass, reed canarygrass",
antennaria argentea,yellowstone national park,249,vascular plant,"silver pussytoes, silvery pussytoes",
sorex monticolus,yellowstone national park,252,mammal,dusky shrew,
sorex monticolus,yellowstone national park,252,mammal,montane shrew,
mimus polyglottos,great smoky mountains national park,116,bird,"mockingbird, northern mockingbird",
mimus polyglottos,great smoky mountains national park,116,bird,northern mockingbird,
panicum gattingeri,great smoky mountains national park,94,vascular plant,"gattinger panic grass, panic grass",
orobanche uniflora,bryce national park,92,vascular plant,"naked broomrape, one-flowered cancer-root",
orobanche uniflora,bryce national park,92,vascular plant,"naked broomrape, naked broom-rape, oneflowered broomrape",
nycticeius humeralis,yellowstone national park,219,mammal,evening bat,
zonotrichia leucophrys,yosemite national park,123,bird,white-crowned sparrow,
rhododendron maximum,yellowstone national park,238,vascular plant,"great laurel, rosebay rhododendron",
oxalis montana,yosemite national park,161,vascular plant,"white wood-sorrel, wood-sorrel",
salvelinus namaycush,bryce national park,76,fish,lake trout,
bryum lisae var. cuspidatum,yellowstone national park,228,nonvascular plant,bryum moss,
mimulus angustatus,great smoky mountains national park,52,vascular plant,purplelip pansy monkeyflower,
thermopsis montana,yellowstone national park,261,vascular plant,mountain goldenbanner,
eleocharis palustris,yellowstone national park,242,vascular plant,spike-rush,
eleocharis palustris,yellowstone national park,242,vascular plant,"common spikerush, creeping spikerush, creeping spike-rush, marsh spike-rush, spikesedge",
oxalis corniculata,bryce national park,92,vascular plant,creeping woodsorrel,
oxalis corniculata,bryce national park,92,vascular plant,"creeping oxalis, creeping woodsorrel, 'ihi, yellow oxalis, yellow wood sorrel",
hypericum mitchellianum,yellowstone national park,276,vascular plant,"blue ridge st. john's-wort, mitchell's st.john's-wort",
senecio fremontii var. fremontii,yosemite national park,114,vascular plant,dwarf mountain ragwort,
rudbeckia laciniata var. humilis,yosemite national park,152,vascular plant,coneflower,
nucifraga columbiana,bryce national park,117,bird,clark's nutcracker,
contopus cooperi,bryce national park,130,bird,olive-sided flycatcher,species of concern
carex tahoensis,bryce national park,124,vascular plant,tahoe sedge,
bryoandersonia illecebra,bryce national park,93,nonvascular plant,bryoandersonia moss,
polygonatum biflorum var. biflorum,bryce national park,67,vascular plant,"king solomon's seal, smooth solomon's seal",
dodecatheon jeffreyi,bryce national park,118,vascular plant,sierrra shootingstar,
leersia virginica,great smoky mountains national park,61,vascular plant,virginia cutgrass,
polygonum douglasii ssp. douglasii,great smoky mountains national park,58,vascular plant,douglas' knotweed,
montia chamissoi,great smoky mountains national park,86,vascular plant,"toadlily, water indianlettuce, water miner's lettuce, water minerslettuce",
